data,horario,codigo_medico,cpf_paciente
2025-03-10,08:30,1001,12345678901
2025-04-15,09:00,1001,23456789012
2025-05-20,10:30,1002,34567890123
2025-06-05,14:00,1002,45678901234
2025-07-12,15:30,1003,56789012345
2025-08-18,11:00,1003,67890123456
2025-09-25,13:30,1004,78901234567
2025-10-30,16:00,1004,89012345678
2025-11-22,08:00,1005,90123456789
2025-12-05,09:30,1005,11223344556
2026-01-10,10:00,1001,34567890123
2026-02-14,11:30,1002,12345678901
2026-03-20,14:30,1003,23456789012
2026-07-15,08:30,1004,56789012345
2026-08-22,09:00,1005,67890123456
2026-09-10,10:30,1001,78901234567
